Username,Text,language,retweet_count,Time,location
h_soreniya411,Buitenproportionele repressie #Iran: een dieptepunt van 2022.     I will be godfather of #Mohammad_Ghobadlou     Sentenced to death in a sham trial.     His death penalty confirmed last week.     Mohammad is only 22 years old. His life is extremely in danger.     #StopExecutionInIran https://t.co/gq41qeQF6X,en,776,2022-12-31 17:16:47+00:00, Iran
ikfigbg,"&lt;strong&gt;Mehrdad Malek, 17, killed by Iran’s security forces #Iran  via @IranHrm https://t.co/GIIKj22726",en,7,2022-12-31 17:16:45+00:00,
RZFRD,"As per Iranian revolutionaries’ call earlier this week, there are reports that protests have started today at Tehran’s Grand Bazaar. Video is starting to come in below. #Iran #MahsaAmini https://t.co/PDIM6y0xoe",en,252,2022-12-31 17:16:45+00:00,
johnsnow_first_,Protester sets fire to a billboard of the IRGC’s Ghassem Soleimani over a Tehran highway. #Masha_Amini #Iran #IranRevolution  #مهسا_امینی https://t.co/tUITkDxALn,en,139,2022-12-31 17:16:39+00:00,
MansourAlrooqi,"December 31 - Javanrud, western #Iran  Locals took the mullahs' regime flag today while continuing the nationwide protests against the regime on the 107th day of the uprising.  #IranRevolution2022  #مرگ_بر_ستمگر_چه_شاه_باشه_چه_رهبر   https://t.co/vqtyvpL07m",en,2,2022-12-31 17:16:39+00:00,"Riyadh, Kingdom of Saudi Arabia"
zara17921466,"@Taheri_Movement @C_MorinDesailly @ac_loisier @FrancoiseGatel @Henno @PALevisenat @JacquemetAnnick @amel_gacquerre @NassimahDindar @L_Lafon @valerieletard @V_Delahaye @91DRM @claude_kern @verienparent @ACazabonne @AnnickBillon Great, many thanks from French senators.  #StopExecutionInIran    #IranRevoIution  #Iran   #MahsaAmini",en,3,2022-12-31 17:16:36+00:00,
NarinNa1365,Deadly clashes today in Javanroud. #Iran regime forces are firing live ammunition and tear gas at people gathering to mark the end of a 40-day mourning period for revolutionaries. #MahsaAmini   https://t.co/AChdQHjNbD,en,297,2022-12-31 17:16:34+00:00,
liixsell,"If you know, you know. 🔥😂     #Iran #IranRevolution #shervinhajipour https://t.co/FLCKbzbvZ0",en,1214,2022-12-31 17:16:32+00:00,
Liumstkda,Buitenproportionele repressie #Iran: een dieptepunt van 2022.     I will be godfather of #Mohammad_Ghobadlou     Sentenced to death in a sham trial.     His death penalty confirmed last week.     Mohammad is only 22 years old. His life is extremely in danger.     #StopExecutionInIran https://t.co/gq41qeQF6X,en,776,2022-12-31 17:16:31+00:00,/خونه‌ی هری./
HeshmatAlavi,"Dec 31—Sanandaj, W #Iran  Locals are setting up roadblocks with fires and taking control of their streets in solidarity with the city of Javanrud.  #IranRevolution   #جوانرود   https://t.co/D5dz1Zd264",en,2,2022-12-31 17:16:30+00:00,Somewhere
RZFRD,"We may all feel like lonely fighters, sometimes, but together we are many. And if we stop, they will win, for sure.    Into a better 2023 - for Freedom, for Equality, for Peace.     #Iran #Afghanistan #Ukraine #Yemen in my mind tonight. https://t.co/HcjmUdkZQb",en,56,2022-12-31 17:16:29+00:00,
patrickmajor56,"Yesterday, December 30, at #Hamidreza_Rouhi's commemoration ceremony on the 40th day of his death, #Vahid_Beygi was arrested and taken to Great Tehran Penitentiary. The security forces killed Hamidreza Rouhi at protests.     #Iran  #IranProtests https://t.co/OmdyWWSMU1",en,27,2022-12-31 17:16:28+00:00,"Calgary, Alberta"
AsalZahremar,"@Highlander0070 @HNeumannMEP That will be a great help to #Iran, #Yemen and #Ukraine️. Kill two zombies with one stone.  #IranRevolution #LetAfganGirlsLearn",en,0,2022-12-31 17:16:25+00:00,
__OUTIS_,"We may all feel like lonely fighters, sometimes, but together we are many. And if we stop, they will win, for sure.    Into a better 2023 - for Freedom, for Equality, for Peace.     #Iran #Afghanistan #Ukraine #Yemen in my mind tonight. https://t.co/HcjmUdkZQb",en,56,2022-12-31 17:16:25+00:00,جهنم
Masoud_Azarian,Buitenproportionele repressie #Iran: een dieptepunt van 2022.     I will be godfather of #Mohammad_Ghobadlou     Sentenced to death in a sham trial.     His death penalty confirmed last week.     Mohammad is only 22 years old. His life is extremely in danger.     #StopExecutionInIran https://t.co/gq41qeQF6X,en,776,2022-12-31 17:16:18+00:00,
SarahIranLove,@PierrePoilievre Beautiful family 😍 happy new year!     Please keep up supporting Iranians in 2023!     Freedom for #Iran! 🌱🙌🏽💚🙌🏽    #IRGCterrorists #EndJCPOA,en,0,2022-12-31 17:16:17+00:00,US
johnsnow_first_,"Protests continue in #Iran - and the few reports we get despite internet blockade indicate that #IRGC shoots on protestors with live ammunition     This is a grave human rights abuse. The world needs to watch, #JCPOA talks have to stop and #IRGC needs to be on 🇪🇺 sanctions list. https://t.co/I70p7q9Zbh",en,585,2022-12-31 17:16:15+00:00,
yaldaparody,"We may all feel like lonely fighters, sometimes, but together we are many. And if we stop, they will win, for sure.    Into a better 2023 - for Freedom, for Equality, for Peace.     #Iran #Afghanistan #Ukraine #Yemen in my mind tonight. https://t.co/HcjmUdkZQb",en,56,2022-12-31 17:16:13+00:00,
Arameshnahan,"@jalovemil While the world is getting ready to celebrate the New Year, innocent Iranian youths are being killed by the mullahs' regime in the streets. #BurhanEliasi was killed today in #Javanrud    #iran   @UN_HRC   @EUCouncil   @dwnews   @GermanyDiplo   @VP https://t.co/ZgpX4ydidh",en,4,2022-12-31 17:16:11+00:00,
ninizkdlinn,IRGC terrorists are massacring people in #Javanrud.  The mullahs' regime in #Iran is committing crimes against humanity and the world is sleeping  #MahsaAmini   @UN_HRC   @UNHumanRights   @JosepBorrellF   @EUCouncil   @VP   @WhiteHouse   @Europarl_EN   @CanadianPM   @CNN   @dwnews,en,2307,2022-12-31 17:16:11+00:00,
ChamehT,IRGC terrorists are massacring people in #Javanrud.  The mullahs' regime in #Iran is committing crimes against humanity and the world is sleeping  #MahsaAmini   @UN_HRC   @UNHumanRights   @JosepBorrellF   @EUCouncil   @VP   @WhiteHouse   @Europarl_EN   @CanadianPM   @CNN   @dwnews,en,2307,2022-12-31 17:16:09+00:00,
